"","firstname","lastname","year","sex","count"
"524","ABIGAIL","ABIMELETH",2015,"F",1
"525","ABIGAIL","ABISAI",2015,"F",1
"526","ABIGAIL","AILEEN",2015,"F",1
"527","ABIGAIL","ALANYS",2015,"F",1
"528","ABIGAIL","ALEJANDRA",2015,"F",1
"529","ABIGAIL","ALESSANDRA",2015,"F",2
"530","ABIGAIL","ALEXANDRA",2015,"F",4
"531","ABIGAIL","ALLYANS",2015,"F",1
"532","ABIGAIL","ANAHI",2015,"F",1
"533","ABIGAIL","ANAIS",2015,"F",2
"534","ABIGAIL","ANDREA",2015,"F",1
"535","ABIGAIL","ANETTE",2015,"F",1
"536","ABIGAIL","ANGELIS",2015,"F",1
"537","ABIGAIL","ANJALI",2015,"F",1
"538","ABIGAIL","ANNAIS",2015,"F",1
"539","ABIGAIL","AREILHA",2015,"F",1
"540","ABIGAIL","ARELIS",2015,"F",1
"541","ABIGAIL","ARIANA",2015,"F",2
"542","ABIGAIL","ARLENE",2015,"F",1
"543","ABIGAIL","ASIEL",2015,"F",1
"544","ABIGAIL","AVIMELEC",2015,"F",1
"545","ABIGAIL","AYLIN",2015,"F",1
"546","ABIGAIL","AYSHELL",2015,"F",1
"547","ABIGAIL","BETSABE",2015,"F",1
"548","ABIGAIL","CAMILA",2015,"F",1
"549","ABIGAIL","CAROLINA",2015,"F",1
"550","ABIGAIL","DARLENE",2015,"F",1
"551","ABIGAIL","DAVIELLIS",2015,"F",1
"552","ABIGAIL","DEL CARMEN",2015,"F",3
"553","ABIGAIL","DENISSE",2015,"F",1
"554","ABIGAIL","EDŽN",2015,"F",1
"555","ABIGAIL","EDITH",2015,"F",2
"556","ABIGAIL","ELENA",2015,"F",1
"557","ABIGAIL","ELINA",2015,"F",1
"558","ABIGAIL","ELIZABETH",2015,"F",4
"559","ABIGAIL","ESTER",2015,"F",5
"560","ABIGAIL","ESTHER",2015,"F",12
"561","ABIGAIL","EYLEN",2015,"F",1
"562","ABIGAIL","FANY",2015,"F",1
"563","ABIGAIL","GABRIELA",2015,"F",1
"564","ABIGAIL","GAELY",2015,"F",1
"565","ABIGAIL","HAYDEŽ",2015,"F",1
"566","ABIGAIL","IBETH",2015,"F",2
"567","ABIGAIL","IRENE",2015,"F",1
"568","ABIGAIL","ISABEL",2015,"F",1
"569","ABIGAIL","ISABELLA",2015,"F",2
"570","ABIGAIL","JANETH",2015,"F",1
"571","ABIGAIL","JIRETH",2015,"F",1
"572","ABIGAIL","JOAN",2015,"F",1
"573","ABIGAIL","KEYLETH",2015,"F",1
"574","ABIGAIL","KIRIANIS",2015,"F",1
"575","ABIGAIL","LIAM",2015,"F",1
"576","ABIGAIL","LISBETH",2015,"F",1
"577","ABIGAIL","LUANIS",2015,"F",1
"578","ABIGAIL","LUCIA",2015,"F",1
"579","ABIGAIL","LUCÍA",2015,"F",1
"580","ABIGAIL","MARIANNE",2015,"F",1
"581","ABIGAIL","MARIE",2015,"F",3
"582","ABIGAIL","MARIELYSS",2015,"F",1
"583","ABIGAIL","MICHEL",2015,"F",1
"584","ABIGAIL","MICHELLE",2015,"F",2
"585","ABIGAIL","MILAGROS",2015,"F",3
"586","ABIGAIL","MILCA",2015,"F",1
"587","ABIGAIL","MILENA",2015,"F",1
"588","ABIGAIL","NADINE",2015,"F",1
