tariff_fraction,total
1905.40.00,1609
9030.39.00,1607
9030.33.00,1600
3918.90.90,1600
0808.10.00,1600
8203.10.90,1598
8433.11.00,1596
7020.00.90,1590
4009.31.00,1588
2005.20.20,1587
6403.40.10,1587
4009.41.00,1585
3920.99.00,1584
9403.20.93,1580
8214.10.10,1578
9405.99.90,1577
9605.00.00,1574
2710.19.99,1569
8528.52.12,1568
0203.29.00,1567
8516.10.19,1567
1602.49.12,1565
6402.99.91,1564
6402.20.20,1563
6201.99.00,1559
2008.97.19,1555
6303.92.00,1555
9404.90.20,1554
8701.20.00,1553
7419.99.90,1551
3917.31.90,1550
2208.30.90,1548
9403.70.11,1548
6811.82.00,1547
6215.90.00,1545
6211.33.90,1543
9006.91.00,1543
6208.21.00,1542
6202.99.00,1542
1901.10.11,1542
6116.10.00,1541
9401.80.10,1541
1904.10.24,1541
8704.22.10,1541
7323.94.90,1538
3004.50.20,1530
7326.90.41,1530
6307.90.10,1530
8419.89.90,1529
6204.69.12,1528
6108.92.00,1528
3004.90.91,1512
6213.90.00,1510
2710.19.21,1509
4420.10.00,1509
3925.30.31,1507
8703.24.94,1504
8716.39.00,1499
9405.50.90,1498
8508.11.10,1498
9021.40.00,1493
1602.41.11,1492
7312.90.00,1491
6404.19.31,1484
3506.99.00,1484
3006.40.00,1480
1006.30.90,1477
7019.90.00,1476
8302.49.00,1470
6102.30.00,1469
3925.30.90,1466
0902.30.00,1464
0806.10.00,1464
6404.19.33,1463
6805.20.90,1463
8501.31.00,1462
4203.21.90,1462
8433.19.00,1458
2106.90.70,1456
2008.70.00,1456
8301.60.00,1454
6203.39.90,1453
1601.00.32,1450
8203.40.00,1450
8433.90.10,1450
1601.00.21,1449
3209.90.19,1448
9603.90.49,1445
8504.21.00,1444
2710.91.10,1444
9030.31.00,1441
2103.10.00,1440
8708.93.31,1440
3924.90.16,1437
7508.90.52,1436
6403.59.95,1435
6111.90.90,1427
3213.10.10,1426
8467.22.00,1425
6106.10.20,1422
0705.19.00,1421
7013.10.29,1421
8418.10.90,1420
6307.20.00,1414
2009.90.29,1414
8716.90.99,1410
8205.70.00,1408
6107.21.00,1404
8428.90.90,1404
7016.10.00,1403
9503.00.60,1402
6912.00.90,1401
3307.90.30,1399
9017.30.00,1399
3821.00.10,1399
8536.69.10,1397
6406.90.92,1397
8536.61.00,1396
8708.93.39,1395
8215.20.00,1392
8536.49.10,1388
6506.91.20,1387
7013.10.10,1384
7007.19.00,1383
2104.10.23,1382
8907.90.90,1382
1602.49.90,1380
6111.20.10,1379
9029.20.90,1378
3921.13.90,1377
8711.20.11,1375
6301.90.00,1375
1602.50.00,1375
8708.21.00,1372
6303.99.00,1372
8508.19.10,1370
3920.20.90,1370
9503.00.49,1367
9403.89.00,1364
8522.90.90,1363
6205.30.29,1363
6214.10.00,1362
6309.00.90,1360
4205.00.99,1357
3208.90.29,1349
8523.49.99,1339
8708.95.00,1339
0811.20.90,1338
6506.99.10,1337
6117.10.00,1337
8501.20.00,1336
2008.99.90,1336
4008.11.00,1335
3926.90.96,1332
8512.90.10,1331
5607.90.90,1330
8703.23.94,1330
1904.20.00,1326
2208.70.00,1325
8516.80.90,1325
6204.62.21,1325
2002.90.15,1323
6208.29.00,1323
3401.20.90,1319
6204.62.22,1313
8542.39.20,1311
6204.23.19,1309
4819.60.00,1308
7117.90.41,1307
6103.39.00,1303
6601.99.20,1303
6304.99.90,1302
6204.32.00,1302
4421.99.99,1300
8537.20.00,1300
2008.19.11,1297
6506.10.10,1295
6111.30.90,1292
7317.00.19,1291
1806.20.90,1290
8306.30.00,1289
6911.90.00,1289
8482.99.00,1289
8708.40.10,1288
2104.10.21,1285
0810.10.00,1284
8523.52.10,1284
8507.20.00,1283
7317.00.90,1283
3922.90.00,1282
9103.90.00,1282
5705.00.99,1281
6104.52.00,1281
2309.90.50,1280
8467.19.00,1278
1904.90.10,1278
6307.90.23,1276
6302.53.00,1274
2009.69.90,1273
6207.91.29,1273
0401.10.00,1272
7615.10.94,1269
8505.19.00,1267
3402.20.13,1264
6204.19.29,1263
8201.30.20,1261
3214.10.12,1261
7308.40.90,1261
4202.99.29,1257
3917.23.20,1256
3307.10.10,1253
6810.99.00,1252
4820.30.39,1251
2101.11.10,1250
3926.20.11,1250
3215.11.90,1249
3307.20.10,1248
5703.30.90,1247
6403.91.97,1247
3921.90.99,1246
7315.82.90,1246
1901.10.19,1244
6302.29.00,1242
8539.21.00,1240
2104.10.93,1235
6302.93.00,1233
8443.39.00,1233
8525.80.10,1233
3305.10.10,1232
8525.60.90,1228
2206.00.00,1225
7321.90.90,1224
9403.90.10,1224
3307.10.29,1223
8510.10.00,1219
6914.90.00,1219
6105.90.00,1218
9002.11.00,1216
8708.40.20,1213
9618.00.00,1212
1602.31.99,1211
6304.92.90,1209
9507.90.90,1209
9022.90.90,1208
6115.21.90,1206
7307.92.00,1205
2710.19.30,1205
2208.40.10,1204
8482.50.00,1203
8433.90.90,1203
2008.11.10,1201
6403.59.96,1199
8712.00.30,1198
8418.69.10,1196
6306.12.00,1196
8712.00.90,1196
6405.20.00,1195
0810.90.10,1194
1905.90.29,1190
8210.00.90,1185
3814.00.90,1184
6403.91.96,1182
4017.00.29,1181
6204.29.19,1181
7323.91.90,1180
6214.40.00,1178
7612.90.92,1178
8424.20.00,1177
8201.10.00,1176
6104.22.00,1174
4011.40.00,1172
9102.21.00,1172
3303.00.11,1168
8504.90.00,1168
0705.11.00,1165
3707.90.91,1165
6112.12.00,1165
9206.00.00,1164
7907.00.99,1163
7321.81.00,1162
3811.90.00,1161
4202.91.29,1160
9018.50.00,1160
0207.14.12,1160
1904.30.00,1159
0806.20.00,1159
6206.10.10,1157
7418.20.00,1156
6403.91.94,1155
8412.90.90,1155
8413.19.00,1153
1509.90.00,1152
0406.10.90,1151
3002.30.00,1151
0401.20.00,1150
6506.91.90,1148
6107.19.10,1147
3401.11.90,1146
4203.29.90,1143
9612.10.10,1142
9603.50.10,1139
3403.19.20,1138
3824.40.10,1138
6206.40.90,1136
9611.00.00,1134
1604.14.90,1134
8533.40.00,1134
9114.90.90,1134
6504.00.20,1133
2202.99.11,1133
9027.90.10,1132
9027.10.00,1132
0704.10.00,1129
6203.49.13,1125
6110.11.00,1124
6404.19.97,1120
8714.91.90,1117
8423.89.00,1117
0406.90.20,1116
8466.10.00,1111
8712.00.20,1110
4820.50.00,1110
6908.90.29,1110
6204.53.90,1106
2008.60.00,1102
3926.10.10,1102
8516.10.29,1100
4817.10.00,1099
6208.19.10,1097
8418.40.00,1095
9603.90.61,1094
6302.32.00,1094
6210.20.00,1093
8415.10.90,1093
3922.10.11,1092
8704.31.00,1092
8531.80.40,1090
0803.90.11,1089
7326.90.20,1089
7117.90.39,1087
9401.20.10,1086
2208.90.30,1086
8703.40.00,1085
9401.20.90,1083
1604.13.00,1083
2102.30.00,1083
3917.29.90,1082
8427.20.00,1080
8409.99.10,1078
6203.43.22,1078
8412.90.10,1078
2402.20.00,1077
5607.50.00,1074
6203.31.90,1073
3402.90.22,1072
2811.21.00,1072
8509.90.00,1070
6204.49.21,1070
6210.40.00,1069
6505.00.31,1067
2208.60.90,1065
4818.50.90,1064
7321.19.10,1064
3405.10.00,1059
8545.20.00,1059
6104.42.20,1057
8707.90.19,1056
8214.10.90,1052
8467.81.00,1052
6108.31.20,1050
6215.20.00,1047
8708.93.90,1045
7615.10.10,1045
8438.10.00,1039
2103.20.99,1038
6804.30.00,1037
4823.90.95,1037
0712.90.20,1035
2710.12.13,1033
2103.20.20,1032
7323.91.10,1029
3402.20.21,1029
1601.00.49,1029
7318.23.00,1028
9207.90.00,1027
6913.10.00,1020
2009.19.90,1019
8419.50.00,1018
9506.99.10,1015
6205.20.11,1015
2301.10.00,1015
6203.22.00,1013
7013.10.90,1012
6204.19.10,1010
0201.30.00,1009
9506.31.00,1008
1704.90.30,1007
3917.31.10,1007
3407.00.30,1006
5407.69.00,1004
8716.40.00,1003
8414.10.00,1003
3920.49.00,1003
3926.90.19,1002
0712.90.90,1001
8212.20.00,999
6307.90.91,998
9026.90.00,993
7607.20.90,993
6108.91.00,990
8429.59.00,990
3401.11.40,989
2009.89.94,987
8423.90.00,987
8528.72.10,985
0906.20.00,984
2710.12.12,984
1702.20.00,984
4823.20.00,982
0710.40.00,981
9003.19.00,979
6113.00.00,979
6505.00.32,979
6102.20.00,976
8427.90.00,974
1509.10.00,973
1602.41.19,971
8477.90.00,970
1515.50.90,970
